Timestamp,Temperature(C),Pressure(hPa),FrameFile
2025-08-15T10:00:00,22.5,1013.25,
2025-08-15T10:00:01,22.7,1013.20,
2025-08-15T10:00:02,23.1,1013.15,
2025-08-15T10:00:03,23.4,1013.10,
2025-08-15T10:00:04,23.8,1013.05,
2025-08-15T10:00:05,24.2,1012.98,
2025-08-15T10:00:06,24.5,1012.92,
2025-08-15T10:00:07,24.9,1012.85,
2025-08-15T10:00:08,25.3,1012.78,
2025-08-15T10:00:09,25.6,1012.71,
2025-08-15T10:00:10,26.0,1012.64,
2025-08-15T10:00:11,26.3,1012.57,
2025-08-15T10:00:12,26.7,1012.50,
2025-08-15T10:00:13,27.1,1012.43,
2025-08-15T10:00:14,27.4,1012.36,
2025-08-15T10:00:15,27.8,1012.29,
2025-08-15T10:00:16,28.2,1012.22,
2025-08-15T10:00:17,28.5,1012.15,
2025-08-15T10:00:18,28.9,1012.08,
2025-08-15T10:00:19,29.3,1012.01,
2025-08-15T10:00:20,29.6,1011.94,
2025-08-15T10:00:21,30.0,1011.87,
2025-08-15T10:00:22,30.3,1011.80,
2025-08-15T10:00:23,30.7,1011.73,
2025-08-15T10:00:24,31.1,1011.66,
2025-08-15T10:00:25,31.4,1011.59,
2025-08-15T10:00:26,31.8,1011.52,
2025-08-15T10:00:27,32.2,1011.45,
2025-08-15T10:00:28,32.5,1011.38,
2025-08-15T10:00:29,32.9,1011.31,
2025-08-15T10:00:30,33.3,1011.24,
2025-08-15T10:00:31,33.6,1011.17,
2025-08-15T10:00:32,34.0,1011.10,
2025-08-15T10:00:33,33.7,1011.15,
2025-08-15T10:00:34,33.3,1011.22,
2025-08-15T10:00:35,32.9,1011.29,
2025-08-15T10:00:36,32.5,1011.36,
2025-08-15T10:00:37,32.1,1011.43,
2025-08-15T10:00:38,31.7,1011.50,
2025-08-15T10:00:39,31.3,1011.57,
2025-08-15T10:00:40,30.9,1011.64,
2025-08-15T10:00:41,30.5,1011.71,
2025-08-15T10:00:42,30.1,1011.78,
2025-08-15T10:00:43,29.7,1011.85,
2025-08-15T10:00:44,29.3,1011.92,
2025-08-15T10:00:45,28.9,1011.99,
2025-08-15T10:00:46,28.5,1012.06,
2025-08-15T10:00:47,28.1,1012.13,
2025-08-15T10:00:48,27.7,1012.20,
2025-08-15T10:00:49,27.3,1012.27,
2025-08-15T10:00:50,26.9,1012.34,
2025-08-15T10:00:51,26.5,1012.41,
2025-08-15T10:00:52,26.1,1012.48,
2025-08-15T10:00:53,25.7,1012.55,
2025-08-15T10:00:54,25.3,1012.62,
2025-08-15T10:00:55,24.9,1012.69,
2025-08-15T10:00:56,24.5,1012.76,
2025-08-15T10:00:57,24.1,1012.83,
2025-08-15T10:00:58,23.7,1012.90,
2025-08-15T10:00:59,23.3,1012.97,
2025-08-15T10:01:00,22.9,1013.04,
